"ULLAN PAKARI RUISKAKKO 400g",6416211000304
"Oululainen Reilu Täysjyvä 550 g täysjyväleipä",6411402164803
"Oululainen Reilu Vehnä 500 g vehnäleipä",6411402164902
"Oululainen Reilu Ruisreikäleipä 200g",6413466101800
"Perheleipurit Ruisreikäleipä 330g",6405506002116
"Vaasan Revitty 350 g täysjyväruisleipä",6437002000136
"Leivo Ruisrehti 375g Täysjyväruispalaleipä",6405506122920
"Moilas Jääkärinpala 6/300g halkaistu ruispalaleipä",6405506600930
"Oululainen alkuperäinen jälkiuuninappi 245g",6413466101701
"Perhel Ruislätkä 240g Ruispalaleipä",6405506115120
"Perheleipurit Makupalat 6 kpl / 420 g ruissekaleipä",6405506127123
"Salonen Saaristolaisnappi 8 kpl / 310 g ruisleipä",6405506022558
"VAASAN Minihiilari Ruis 260g",6437005063862
"Vaasan ruispalat mini 265g",6437005066672
"VAASAN Ruispalat 330 g 6 kpl täysjyväruisleipä",6437005003752
"Pirkka saaristolaisleipä 500g",6410405076045
"Maalahden Limppu 660 g",6416120000105
"Oululainen Luomu jälkiuunilimppu 350g",6413466002404
"Porokylä PikkuTuliainen 500g",6416192010071
"Pirkka auringonkukkaleipä 500g",6410405080646
"Moilas Pikku Jääkäri 500g jälkiuuniruisleipä viipaloitu",6405506400332
"Oululainen Aito Jälkiuunileipa 300 g",6411402105301
"Ullan Pakari Ullan ruis 300g",6416211000373
"Oululainen Jälkiuuniviipaleet 260 g",6411402106209
"Porokylä Ruiseväs 650g siivutettu",6416192012273
"Porokylä Ruisleipä 500g",6416192000010
"Porokylä Sihtileipä 560g siivu",6416192080135
"Pågen Limpukka 500g moniviljaleipä",7311070330595
"Pågen Tumma Viettelys 750g leipä",7311070330403
"Sinuhe Ryhti ruislimppu 620g ruisleipä",6433500000616
"Uotilan Aito Pälkäneen Maalaisruislimppu 400 g",6411402126108
"Uotilan Aito Pälkäneen Perunalimppu 450 g",6411402125101
"Fazer Paahto Juusto 450 g paahtoleipä",6411402159007
"Fazer Paahto ruis 350g",6413466057503
"Fazer Paahto Ruis 700 g ruispaahtoleipä",6411402132604
"Fazer Paahto Vehnä 280 g vehnäpaahtoleipä",6411402130006
"Pågen JättiRanska 1,2 kg vehnäpaahtoleipä",7311072330449
"Pågen Rasker 1,2 kg täysjyväpaahtoleipä",7311072330463
"VAASAN Isopaahto vehnä 500 g paahtoleipä",6437005041068
"VAASAN TaikaRuis 100% Paahtoleipä",6437005063831
"Fazer Alku Jyväpala leipä 480 g",6411402205506
"Fazer Puikula Mysli 6 kpl/450 g",6411402203106
"Oululainen Reissumies Kaura 4 kpl/280g",6413466101602
"Perhel Kauralätkä 280g kauraleipä",6405506231127
"Pågen oivallus subs 480g vehnä leipä",7311070338850
"Salonen Flatbread 3 kpl/225 g",6405506128151
"VAASAN Jälkiuunikaurapalat 250g",6437005064852
"VAASAN TaikaRuis 100% Palaleipä pss",6437005062308
"Vaasan taikaruis 100% palaleipä 360g porkkana",6437005067327
"Fazer juustosämpylä 7kpl/490g",6413466100100
"Perheleipurit Aamiaissämpylä 7 kpl / 420 g moniviljasämpylä",6405506123019
"Perheleipurit 10 Grahamsämpylä 10kpl/470g",6405506366126
"PL aamiaissämpylä 420g kaura",6405506124016
"Rosten Seitsemän sortin sämpylä 350g",6409770015209
"Sinuhe Kauralesesämpylä 350g /5kpl sämpylä",6433500022373
"Sinuhe Rouhesämpylä 420g/ 10kpl sämpylä",6433500021772
"VAASAN Minihiilari 200 g",6437005062384
"Vaasan muhku kaurasämpylä 7kpl 350g",6437005075339
"Vaasan muhku 100% ruissämpylä 7kpl 350g",6437005075315
"PullaPirtti kaurarieska 2kpl/220g",6405506172246
"VAASAN Lapin Rieskaset peruna 260 g",6437005053887
"Pirkka maalaiskauraleipä 580g",6410405052421
"Fazer klassikko maalaisleipä 500g",6413466654207
"Leivo Arinarievä 500g sekaleipä",6424200022114
"Perheleipurit Kaura100 240g",6405506133476
"Perheleipurit Terve! Moniviljaleipä 280g",6405506253129
"Rosten Crusta ciabatta 300 g, vehnäleipä",6409770054574
"Rosten Crusta juusto-oliivi 250 g",6409770054529
"Rosten Kauraruis Ciapatta 350g",6409770054659
"Rosten Primo sinihomejuusto-ananas 250 g",6409770054741
"ULLAN PAKARI AURINKOPATU 350g",6416211000229
"Vaasan Ranskanleipä 350g",6437002001911
"Pirkka setsuuriviipaleet 500g",6410402019762
"Fazer Alku maalaisviip 600g merisuola",6413466080600
"Fazer Alku maalaisviip 650g porkkana",6413466080501
"Oululainen reilu kaura-pellava 520g",6413466650704
"Oululainen Reilu Vehnälese 500 g",6411402164001
"Perheleipurit neljän viljan siivut viipaloitu sekaleipä 430g",6405506252221
"Primula kauraviipaleet 450g",6405506192176
"Primula Moniviljaviipaleet 450g",6405506191377
"Pågen Maalaishyvä Spelttiviipaleet 650g",7311070336085
"Sinuhe Aittaleipä 480g siivutettu sekaleipä",6433500013036
"Sinuhe Kaura-aittaleipä 480g siivutettu sekaleipä",6433500013838
"Sinuhe Viipaloitu kauraleipä 480g kauraleipä",6433500013418
"Sinuhe Vilja-aittaleipä 440g siivutettu sekelaipä",6433500013739
"VAASAN Maalaisviipaleet 500 g viipaloitu sekaleipä",6437005031298
"Vaasan TaikaRuis 100 % Porkkana 390 g täysjyväruisviipaleet",6437005061721
"VAASAN TaikaRuis 100 % Ruisviipaleet 550 g",6437005058660
"Vaasan täyshyvät Jyväiset viipaleet 390 g 100 % täysjyväviljaleipä",6437005059537
"Vaasan täyshyvät Moniviljaviipaleet 650 g 100 % täysjyvävehnäleipä",6437005053337
"Danerolles 240g Croissants 6kpl tuoretaikina",5410146401435
